id,topic1_id,topic1_prob,topic2_id,topic2_prob,topic3_id,topic4_prob
213,1,0.5365416407585144,5,0.31548357009887695,8,0.117622971534729
214,1,0.4576973021030426,7,0.31331169605255127,5,0.0945030152797699
217,1,0.4926334023475647,5,0.28320708870887756,8,0.14294080436229706
218,7,0.3953721523284912,1,0.22425812482833862,5,0.17801815271377563
219,7,0.405204713344574,10,0.2786625325679779,1,0.21154892444610596
222,1,0.2854495644569397,7,0.23105116188526154,5,0.20418088138103485
223,1,0.380259245634079,10,0.19529184699058533,9,0.18402142822742462
225,5,0.3507090210914612,7,0.25175386667251587,1,0.19722425937652588
227,7,0.5967000722885132,1,0.14055034518241882,10,0.13754741847515106
228,7,0.4529831111431122,10,0.2267901748418808,1,0.22015103697776794
230,7,0.45549294352531433,1,0.22303149104118347,5,0.14205648005008698
231,5,0.40534162521362305,1,0.34548285603523254,8,0.1985514760017395
232,7,0.321042537689209,1,0.1553240865468979,5,0.14642107486724854
233,7,0.4552042484283447,10,0.20267531275749207,1,0.16905812919139862
234,1,0.44789549708366394,8,0.32069337368011475,5,0.13550342619419098
235,1,0.4975700080394745,7,0.23202389478683472,10,0.22896701097488403
237,7,0.28651219606399536,1,0.28463277220726013,6,0.1327839344739914
238,7,0.4444259703159332,1,0.23234805464744568,8,0.16142511367797852
239,1,0.5127353668212891,7,0.4740172326564789,0,
240,1,0.364743709564209,7,0.2279028445482254,4,0.18976633250713348
241,1,0.5121298432350159,7,0.3042568862438202,8,0.08977054059505463
246,7,0.22914396226406097,8,0.19012083113193512,5,0.18024659156799316
249,7,0.47751033306121826,10,0.20031704008579254,1,0.17178891599178314
250,1,0.4507259726524353,7,0.26347631216049194,8,0.1690032035112381
251,7,0.3103528320789337,6,0.22277826070785522,1,0.18753111362457275
253,1,0.326406329870224,7,0.3189903795719147,5,0.2738400399684906
254,1,0.3738395869731903,8,0.3386153280735016,7,0.16397744417190552
258,1,0.4988210201263428,8,0.1752418875694275,7,0.13631631433963776
259,1,0.5419565439224243,7,0.27352985739707947,8,0.07122299820184708
260,5,0.4501253366470337,1,0.2325141280889511,8,0.14211717247962952
262,5,0.4470134377479553,1,0.3644557595252991,8,0.1732417345046997
263,1,0.5368741154670715,7,0.2312096506357193,8,0.15187793970108032
264,1,0.8419009447097778,7,0.10228119045495987,5,0.0303802452981472
265,4,0.3233717978000641,7,0.2894021272659302,1,0.1936151087284088
267,7,0.41017183661460876,1,0.2276431769132614,10,0.11933774501085281
269,7,0.5024110078811646,9,0.17813993990421295,1,0.10963774472475052
270,8,0.4457244873046875,1,0.3531249165534973,7,0.0879477933049202
274,1,0.2623077630996704,6,0.24952587485313416,8,0.21275979280471802
275,7,0.29275205731391907,1,0.2618549168109894,8,0.15051111578941345
276,1,0.34844374656677246,7,0.19683101773262024,8,0.17145246267318726
278,1,0.5239519476890564,7,0.3597210943698883,8,0.061582066118717194
280,7,0.2419997751712799,10,0.2371353656053543,8,0.16947683691978455
281,1,0.46161210536956787,7,0.36650291085243225,5,0.12538129091262817
285,1,0.4538984000682831,7,0.2730116844177246,5,0.15594784915447235
