category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Lockup Procedures,13,1,12,0
Lockup Procedures,12,0,6,0
Lockup Procedures,8,0,10,2
Lockup Procedures,6,0,6,0
Use Of Force,7,1,14,0
Illegal Search,9,0,7,0
Operation/Personnel Violations,6,1,3,0
Illegal Search,10,0,12,0
False Arrest,5,0,5,0
False Arrest,5,0,4,0
Illegal Search,8,0,8,1
Illegal Search,5,0,4,1
Illegal Search,6,0,8,0
Illegal Search,5,1,6,0
Use Of Force,9,1,6,0
Use Of Force,7,0,9,0
Use Of Force,11,2,23,0
Use Of Force,9,1,8,0
Operation/Personnel Violations,6,3,16,1
Operation/Personnel Violations,10,3,9,0
Operation/Personnel Violations,6,2,12,0
Verbal Abuse,5,0,4,0
Domestic,9,1,11,0
Operation/Personnel Violations,8,0,11,0
Use Of Force,13,2,13,0
Domestic,11,0,8,0
Use Of Force,11,1,22,1
Lockup Procedures,6,7,50,1
Illegal Search,7,5,16,1
Domestic,6,0,2,0
Operation/Personnel Violations,8,1,6,1
False Arrest,11,5,15,0
Illegal Search,11,1,9,0
False Arrest,6,0,9,0
Use Of Force,6,1,18,0
Operation/Personnel Violations,7,0,21,0
Illegal Search,8,3,18,0
Illegal Search,7,1,7,0
Illegal Search,7,4,15,2
Domestic,8,0,3,0
Operation/Personnel Violations,6,2,13,0
Use Of Force,8,0,46,0
Use Of Force,8,0,44,0
Use Of Force,5,0,5,0
Use Of Force,8,1,16,0
Verbal Abuse,12,0,17,0
Illegal Search,6,0,4,0
Operation/Personnel Violations,12,1,11,0
Lockup Procedures,5,1,3,0
Illegal Search,10,0,4,0
Domestic,12,0,38,0
Operation/Personnel Violations,7,0,11,0
Use Of Force,7,5,11,2
False Arrest,8,2,22,1
False Arrest,7,2,19,1
Operation/Personnel Violations,7,1,6,1
Operation/Personnel Violations,5,1,6,3
Operation/Personnel Violations,6,1,10,1
Use Of Force,6,0,4,0
Operation/Personnel Violations,11,1,16,0
Operation/Personnel Violations,7,0,11,0
Use Of Force,8,1,15,0
Operation/Personnel Violations,12,0,8,0
Lockup Procedures,7,0,3,0
Lockup Procedures,5,0,5,0
Use Of Force,12,1,16,0
Use Of Force,9,0,16,0
False Arrest,8,9,23,1
Illegal Search,7,1,12,1
Domestic,12,1,6,0
Domestic,5,0,12,0
Use Of Force,12,0,22,0
Operation/Personnel Violations,12,0,13,0
Lockup Procedures,11,6,26,0
Lockup Procedures,6,0,4,0
False Arrest,8,0,4,0
Lockup Procedures,13,0,47,0
Conduct Unbecoming (Off-Duty),9,0,14,0
Conduct Unbecoming (Off-Duty),11,0,3,0
False Arrest,10,1,5,0
False Arrest,6,0,5,0
Lockup Procedures,12,0,12,0
Lockup Procedures,5,0,2,0
False Arrest,7,2,8,0
Operation/Personnel Violations,9,4,8,0
Operation/Personnel Violations,6,0,8,0
Use Of Force,11,0,13,0
Use Of Force,9,2,19,0
Use Of Force,9,0,7,0
Operation/Personnel Violations,7,0,6,0
Operation/Personnel Violations,6,0,6,0
Use Of Force,7,1,10,0
Use Of Force,7,2,14,0
Use Of Force,6,2,19,0
Use Of Force,5,1,20,0
Verbal Abuse,5,0,5,0
False Arrest,11,1,18,0
False Arrest,12,1,6,0
False Arrest,7,1,7,0
False Arrest,7,0,3,1
False Arrest,9,0,8,0
False Arrest,7,0,8,0
Lockup Procedures,8,0,16,0
Lockup Procedures,7,0,8,0
Lockup Procedures,7,0,5,0
Verbal Abuse,11,0,24,1
Domestic,10,1,10,0
Operation/Personnel Violations,9,1,4,0
Operation/Personnel Violations,7,0,8,0
Use Of Force,12,0,10,0
Use Of Force,13,1,8,0
Operation/Personnel Violations,12,4,23,0
Lockup Procedures,5,0,3,0
Operation/Personnel Violations,10,0,4,0
Operation/Personnel Violations,7,5,12,0
Operation/Personnel Violations,7,2,8,0
Illegal Search,7,2,15,1
Domestic,6,0,3,0
Operation/Personnel Violations,6,0,1,1
Operation/Personnel Violations,7,5,12,0
Operation/Personnel Violations,7,2,8,0
Use Of Force,6,0,18,0
Use Of Force,5,0,12,0
Operation/Personnel Violations,9,0,13,0
Operation/Personnel Violations,7,0,6,0
Illegal Search,7,2,11,0
Illegal Search,7,2,6,0
Illegal Search,7,3,15,0
Illegal Search,6,1,9,1
Illegal Search,6,7,20,0
Illegal Search,5,6,21,2
Use Of Force,11,1,30,0
Operation/Personnel Violations,9,3,9,0
Operation/Personnel Violations,6,0,1,0
Use Of Force,13,0,8,0
Use Of Force,6,1,3,0
Illegal Search,13,1,18,0
Lockup Procedures,10,1,17,0
Lockup Procedures,8,1,16,0
Use Of Force,12,4,42,1
Use Of Force,5,0,8,1
Lockup Procedures,8,0,10,0
Lockup Procedures,7,0,3,0
Use Of Force,8,2,9,1
Domestic,12,1,25,0
Verbal Abuse,5,0,14,0
Domestic,7,0,10,0
Operation/Personnel Violations,9,0,8,0
Verbal Abuse,7,0,9,0
Lockup Procedures,12,0,5,0
Domestic,10,0,12,0
False Arrest,7,3,16,3
Operation/Personnel Violations,11,1,9,0
Operation/Personnel Violations,8,2,10,0
Operation/Personnel Violations,7,1,9,0
Operation/Personnel Violations,7,0,4,0
Operation/Personnel Violations,7,0,4,0
Illegal Search,6,1,21,0
Illegal Search,5,1,22,0
False Arrest,10,3,20,0
False Arrest,8,4,29,1
Illegal Search,5,1,5,0
Illegal Search,5,1,7,0
False Arrest,6,0,5,1
False Arrest,6,0,5,0
Use Of Force,10,0,1,0
Use Of Force,7,0,0,0
Operation/Personnel Violations,6,1,3,1
Use Of Force,10,1,49,0
Use Of Force,7,1,25,0
Use Of Force,7,9,25,0
Use Of Force,6,3,13,1
Use Of Force,10,1,21,2
Use Of Force,8,2,30,0
Illegal Search,13,1,19,1
Illegal Search,8,1,34,1
Illegal Search,7,2,16,2
Illegal Search,6,5,23,1
Use Of Force,5,0,2,0
Domestic,12,1,12,0
Traffic,9,0,10,0
Traffic,8,0,8,0
Operation/Personnel Violations,7,0,4,1
Operation/Personnel Violations,5,1,2,0
Operation/Personnel Violations,13,1,6,1
Illegal Search,12,0,6,0
Illegal Search,8,2,19,0
Illegal Search,7,0,8,0
Illegal Search,12,1,9,0
Illegal Search,10,3,16,0
Operation/Personnel Violations,13,7,19,1
Operation/Personnel Violations,12,2,37,0
Illegal Search,9,1,8,0
Illegal Search,7,1,9,0
Illegal Search,6,0,7,0
Use Of Force,6,0,3,0
Illegal Search,8,2,23,0
Illegal Search,7,3,20,0
Operation/Personnel Violations,11,2,16,1
Operation/Personnel Violations,11,0,29,0
Illegal Search,12,0,18,0
Use Of Force,6,0,2,0
Use Of Force,7,1,6,0
Use Of Force,6,0,7,0
Verbal Abuse,10,0,2,0
Verbal Abuse,10,0,20,0
False Arrest,7,4,23,2
Operation/Personnel Violations,9,0,3,0
Operation/Personnel Violations,9,0,8,0
Use Of Force,8,0,4,1
Illegal Search,11,1,30,0
Illegal Search,9,0,7,1
Illegal Search,7,0,2,0
Domestic,11,0,3,0
Traffic,7,0,1,0
Illegal Search,7,0,10,0
Illegal Search,5,1,7,0
Operation/Personnel Violations,12,0,6,1
Operation/Personnel Violations,6,0,4,1
Operation/Personnel Violations,9,0,15,0
Operation/Personnel Violations,6,0,2,1
Operation/Personnel Violations,11,2,14,0
Operation/Personnel Violations,6,1,6,1
False Arrest,8,1,5,0
False Arrest,7,0,5,0
Verbal Abuse,9,0,11,0
Lockup Procedures,8,0,5,0
Lockup Procedures,8,0,2,0
Lockup Procedures,7,0,5,0
Illegal Search,12,3,21,0
Illegal Search,11,3,15,1
Lockup Procedures,6,0,3,0
Lockup Procedures,6,0,2,0
Operation/Personnel Violations,6,0,15,1
Use Of Force,7,0,12,0
Operation/Personnel Violations,12,1,25,0
False Arrest,10,0,18,0
Verbal Abuse,10,0,10,0
Verbal Abuse,8,1,8,0
Bribery / Official Corruption,5,0,5,0
Use Of Force,12,0,17,0
Use Of Force,8,0,9,0
Illegal Search,10,2,12,0
Illegal Search,11,5,13,1
Illegal Search,12,0,5,0
Illegal Search,10,11,24,0
Illegal Search,9,1,6,0
Illegal Search,7,1,8,1
Illegal Search,6,1,11,1
Illegal Search,6,0,8,0
Operation/Personnel Violations,12,1,8,0
Use Of Force,11,10,44,2
Verbal Abuse,5,0,13,0
Operation/Personnel Violations,6,1,4,0
Use Of Force,9,1,8,0
Use Of Force,6,0,0,0
Illegal Search,6,0,10,0
Operation/Personnel Violations,13,0,20,0
False Arrest,10,1,15,0
False Arrest,8,5,31,0
Lockup Procedures,7,0,13,0
Lockup Procedures,7,0,12,0
Use Of Force,12,1,49,0
Use Of Force,10,1,25,2
False Arrest,12,3,22,0
False Arrest,7,3,22,3
Lockup Procedures,7,0,7,0
Lockup Procedures,7,0,5,0
Illegal Search,8,2,27,0
Use Of Force,7,0,16,0
False Arrest,10,5,42,4
False Arrest,9,2,27,0
Lockup Procedures,10,0,29,0
Lockup Procedures,10,0,21,0
Domestic,6,0,1,0
Use Of Force,8,3,10,5
Illegal Search,11,1,10,1
Use Of Force,13,3,20,3
Use Of Force,8,0,6,0
Use Of Force,7,0,16,0
Lockup Procedures,9,0,6,0
Lockup Procedures,9,0,10,0
False Arrest,6,2,9,1
False Arrest,5,4,15,0
Operation/Personnel Violations,6,1,3,0
Operation/Personnel Violations,6,1,5,0
Operation/Personnel Violations,12,1,1,1
Use Of Force,12,0,14,0
Use Of Force,12,0,22,0
Verbal Abuse,9,0,4,0
Verbal Abuse,7,0,7,0
Operation/Personnel Violations,12,0,10,0
Illegal Search,7,2,15,0
False Arrest,7,1,13,1
Illegal Search,10,1,11,0
Illegal Search,6,0,1,0
Illegal Search,9,3,47,1
Illegal Search,8,2,45,2
Operation/Personnel Violations,12,5,22,0
Illegal Search,9,1,7,1
False Arrest,10,0,13,0
False Arrest,8,1,11,0
Operation/Personnel Violations,8,1,16,1
Use Of Force,8,1,5,0
Use Of Force,11,2,15,0
Use Of Force,10,1,9,0
Lockup Procedures,11,0,8,0
Lockup Procedures,11,0,13,0
Domestic,11,0,50,0
Domestic,11,0,14,0
Domestic,10,0,8,0
Domestic,8,0,21,0
Domestic,7,0,9,0
Use Of Force,12,1,13,0
Lockup Procedures,7,0,5,0
Lockup Procedures,6,0,9,1
Verbal Abuse,10,0,19,0
Verbal Abuse,12,0,10,0
Lockup Procedures,7,0,18,0
Operation/Personnel Violations,7,0,1,0
Operation/Personnel Violations,7,0,2,0
Operation/Personnel Violations,5,0,10,0
Illegal Search,6,0,5,0
Use Of Force,10,2,23,0
Use Of Force,9,2,15,0
Operation/Personnel Violations,6,0,7,0
Operation/Personnel Violations,9,3,6,1
Use Of Force,10,0,21,1
Use Of Force,9,0,12,0
Illegal Search,12,1,21,0
Illegal Search,11,3,46,0
Illegal Search,12,0,15,1
Illegal Search,9,3,33,0
Use Of Force,6,0,0,0
Lockup Procedures,7,1,11,0
Illegal Search,8,0,9,0
Illegal Search,7,0,2,0
Operation/Personnel Violations,10,0,11,2
Operation/Personnel Violations,8,0,2,0
Use Of Force,11,3,43,0
Use Of Force,9,1,31,0
Illegal Search,6,1,9,0
Illegal Search,5,1,7,0
False Arrest,7,0,3,0
Use Of Force,7,0,6,0
Use Of Force,11,0,34,0
Use Of Force,7,0,6,0
Use Of Force,7,0,4,0
Use Of Force,6,0,4,0
Use Of Force,6,0,4,0
Use Of Force,6,0,1,0
Use Of Force,5,0,7,0
Traffic,7,0,3,0
Operation/Personnel Violations,11,7,9,1
False Arrest,5,0,6,0
Operation/Personnel Violations,7,0,10,2
Traffic,10,0,4,0
Use Of Force,11,0,10,0
Use Of Force,9,2,12,0
Use Of Force,7,1,5,0
Illegal Search,11,0,12,0
Operation/Personnel Violations,8,0,6,0
Illegal Search,6,0,4,1
Operation/Personnel Violations,9,0,4,0
Illegal Search,7,0,11,0
Illegal Search,6,0,3,1
Domestic,7,0,12,0
Illegal Search,11,0,6,0
Operation/Personnel Violations,11,2,31,2
Operation/Personnel Violations,11,3,18,2
False Arrest,11,0,16,0
False Arrest,8,0,3,0
False Arrest,6,0,4,1
Operation/Personnel Violations,12,0,7,3
Operation/Personnel Violations,5,2,4,0
Operation/Personnel Violations,12,2,8,1
Verbal Abuse,9,0,6,0
Verbal Abuse,5,0,7,0
Illegal Search,11,1,16,0
Illegal Search,7,1,16,0
Illegal Search,10,6,13,0
Lockup Procedures,9,1,6,0
Lockup Procedures,8,0,3,1
Lockup Procedures,7,0,3,0
Verbal Abuse,11,0,14,0
Use Of Force,10,5,27,0
Operation/Personnel Violations,12,1,13,1
Illegal Search,7,0,7,0
Illegal Search,6,1,10,0
Illegal Search,5,0,8,0
Illegal Search,12,2,9,0
Operation/Personnel Violations,7,0,6,1
False Arrest,10,0,11,0
Illegal Search,10,1,10,0
Operation/Personnel Violations,10,0,10,0
Operation/Personnel Violations,6,0,12,0
Use Of Force,6,0,3,0
Use Of Force,8,3,10,0
Illegal Search,12,1,13,0
Use Of Force,7,0,5,1
Use Of Force,7,0,5,1
Illegal Search,6,1,4,0
Operation/Personnel Violations,13,1,20,0
Operation/Personnel Violations,8,1,9,0
Operation/Personnel Violations,8,1,35,0
Use Of Force,10,0,21,1
Operation/Personnel Violations,9,0,9,0
Operation/Personnel Violations,8,1,2,0
Use Of Force,10,1,12,0
Lockup Procedures,13,0,16,0
Illegal Search,11,0,14,0
Illegal Search,7,2,14,1
Illegal Search,7,1,5,0
Illegal Search,7,0,7,0
Illegal Search,7,0,2,1
Illegal Search,6,0,8,2
Illegal Search,6,0,7,0
Illegal Search,5,2,14,1
Illegal Search,5,1,10,4
False Arrest,11,0,10,2
False Arrest,12,0,13,1
False Arrest,7,1,9,0
False Arrest,6,1,9,0
False Arrest,6,1,1,0
False Arrest,10,2,12,0
False Arrest,12,1,14,1
False Arrest,7,2,10,1
False Arrest,7,1,4,0
False Arrest,7,3,7,3
False Arrest,7,1,3,0
False Arrest,6,1,8,1
False Arrest,6,0,6,0
False Arrest,6,1,13,1
False Arrest,5,1,9,0
Illegal Search,7,0,4,0
Illegal Search,7,0,4,0
Illegal Search,7,1,10,0
Illegal Search,10,0,2,0
Illegal Search,12,5,25,2
Illegal Search,10,4,35,1
Verbal Abuse,9,0,6,0
Verbal Abuse,8,0,20,0
Operation/Personnel Violations,9,0,8,0
Operation/Personnel Violations,8,0,7,0
Operation/Personnel Violations,7,0,15,0
Operation/Personnel Violations,7,2,31,0
Illegal Search,13,8,25,0
Illegal Search,10,1,8,0
Illegal Search,7,2,19,1
Illegal Search,6,2,8,0
Illegal Search,10,0,13,0
Operation/Personnel Violations,10,1,9,0
Operation/Personnel Violations,7,2,6,0
Lockup Procedures,7,0,8,0
Lockup Procedures,6,0,9,0
Operation/Personnel Violations,10,0,2,0
Operation/Personnel Violations,6,2,7,0
Use Of Force,12,0,12,0
Operation/Personnel Violations,13,2,14,0
Domestic,10,0,16,0
False Arrest,9,2,15,1
Illegal Search,12,0,9,0
Illegal Search,10,0,4,0
Illegal Search,7,0,3,0
Illegal Search,12,0,8,0
Illegal Search,7,0,2,0
Illegal Search,5,0,1,0
Illegal Search,5,0,1,0
Illegal Search,5,0,0,0
Lockup Procedures,11,1,29,1
Lockup Procedures,11,1,17,1
False Arrest,5,5,43,6
Operation/Personnel Violations,11,2,18,0
Operation/Personnel Violations,12,2,7,0
Illegal Search,12,0,7,0
False Arrest,7,1,8,0
False Arrest,7,1,11,0
Operation/Personnel Violations,12,1,8,2
Operation/Personnel Violations,10,0,11,0
Operation/Personnel Violations,10,2,8,0
Operation/Personnel Violations,6,1,3,1
Operation/Personnel Violations,6,0,3,0
Operation/Personnel Violations,11,0,5,0
Lockup Procedures,10,0,12,0
Lockup Procedures,6,0,2,1
Operation/Personnel Violations,7,6,24,2
Use Of Force,11,1,15,0
Illegal Search,9,1,13,0
Illegal Search,7,0,1,0
Use Of Force,6,2,14,0
Operation/Personnel Violations,8,0,0,0
Illegal Search,12,3,35,0
Illegal Search,7,0,2,0
Operation/Personnel Violations,13,1,22,0
Operation/Personnel Violations,11,0,47,0
Operation/Personnel Violations,12,0,16,0
Operation/Personnel Violations,9,0,34,0
Illegal Search,12,1,7,1
False Arrest,12,2,19,0
False Arrest,7,1,6,1
Operation/Personnel Violations,10,2,13,0
Illegal Search,10,1,16,0
Illegal Search,7,2,12,0
Lockup Procedures,6,0,23,0
Operation/Personnel Violations,12,3,9,0
Domestic,12,0,14,0
Domestic,12,1,20,0
Traffic,7,0,10,0
Traffic,7,0,5,0
Use Of Force,7,0,13,0
Use Of Force,9,0,10,0
Use Of Force,6,0,0,0
Operation/Personnel Violations,9,0,8,0
Illegal Search,7,1,5,1
Operation/Personnel Violations,11,0,5,0
Lockup Procedures,9,5,48,0
Lockup Procedures,8,2,46,0
Operation/Personnel Violations,7,0,1,0
Operation/Personnel Violations,8,1,8,0
Operation/Personnel Violations,8,0,3,0
Operation/Personnel Violations,8,1,11,0
Operation/Personnel Violations,7,1,10,0
Operation/Personnel Violations,10,4,9,1
Operation/Personnel Violations,11,1,16,2
Operation/Personnel Violations,10,3,13,0
Lockup Procedures,11,0,7,0
Use Of Force,6,1,10,2
Operation/Personnel Violations,7,2,12,0
Operation/Personnel Violations,7,1,7,0
Use Of Force,12,0,5,0
Illegal Search,6,2,8,1
Use Of Force,7,0,19,0
Operation/Personnel Violations,12,3,6,0
Lockup Procedures,10,0,16,0
Lockup Procedures,6,1,14,1
Operation/Personnel Violations,12,2,8,0
Operation/Personnel Violations,6,2,5,1
False Arrest,12,0,0,0
False Arrest,12,0,7,0
Illegal Search,8,2,29,0
Use Of Force,13,3,23,0
Illegal Search,10,6,46,2
Use Of Force,12,1,7,1
Operation/Personnel Violations,9,3,17,2
Operation/Personnel Violations,10,2,42,0
Operation/Personnel Violations,6,2,3,1
Operation/Personnel Violations,9,1,16,2
Operation/Personnel Violations,12,1,28,1
Lockup Procedures,8,0,11,0
Illegal Search,10,0,24,0
Illegal Search,8,1,5,0
Illegal Search,7,4,27,0
Illegal Search,7,0,11,0
Illegal Search,5,0,4,0
Illegal Search,12,1,8,0
Verbal Abuse,9,0,9,0
Verbal Abuse,7,0,6,0
Use Of Force,7,1,8,0
Use Of Force,8,4,11,4
False Arrest,12,1,7,0
Use Of Force,11,0,9,0
Use Of Force,9,0,15,1
Illegal Search,10,0,8,0
Lockup Procedures,8,5,16,0
Operation/Personnel Violations,7,2,6,0
False Arrest,12,1,12,1
Lockup Procedures,5,0,6,0
Verbal Abuse,10,1,36,0
Illegal Search,10,3,23,0
Illegal Search,12,1,8,0
Illegal Search,6,2,10,0
Illegal Search,6,7,25,1
Illegal Search,6,0,10,0
Use Of Force,7,0,4,0
Operation/Personnel Violations,6,0,2,0
Use Of Force,12,5,23,0
Use Of Force,9,3,11,1
Illegal Search,6,0,7,0
Illegal Search,4,0,6,1
Operation/Personnel Violations,12,0,1,0
Operation/Personnel Violations,10,1,2,0
Use Of Force,11,2,11,0
Illegal Search,12,3,14,0
Illegal Search,12,6,22,0
Illegal Search,13,4,33,1
Illegal Search,10,0,20,1
Illegal Search,7,2,6,1
Illegal Search,7,2,8,1
Illegal Search,6,2,13,1
Operation/Personnel Violations,7,1,25,0
Domestic,6,0,7,0
Operation/Personnel Violations,6,0,5,0
Lockup Procedures,6,1,3,0
Verbal Abuse,7,0,20,0
Verbal Abuse,7,0,9,0
Illegal Search,8,0,5,0
Illegal Search,8,1,9,0
Verbal Abuse,12,0,15,0
Verbal Abuse,12,1,24,0
Operation/Personnel Violations,11,1,6,0
Operation/Personnel Violations,13,2,8,0
Operation/Personnel Violations,7,1,7,1
Operation/Personnel Violations,13,0,30,0
False Arrest,10,8,45,1
False Arrest,5,1,12,0
Illegal Search,11,4,16,0
False Arrest,7,0,13,0
Operation/Personnel Violations,11,1,5,0
Operation/Personnel Violations,9,2,13,0
Operation/Personnel Violations,7,1,7,0
Operation/Personnel Violations,6,0,4,0
Operation/Personnel Violations,6,1,7,0
Operation/Personnel Violations,8,0,8,0
Operation/Personnel Violations,7,2,5,0
Operation/Personnel Violations,6,5,12,1
Operation/Personnel Violations,6,3,6,0
Operation/Personnel Violations,6,1,9,0
Operation/Personnel Violations,6,0,2,0
False Arrest,7,2,23,1
False Arrest,7,3,44,1
False Arrest,6,2,6,0
Operation/Personnel Violations,7,1,6,0
Operation/Personnel Violations,7,2,6,0
Operation/Personnel Violations,7,1,12,0
Verbal Abuse,9,0,49,0
Verbal Abuse,8,0,47,0
Lockup Procedures,7,1,3,0
Operation/Personnel Violations,8,0,10,0
Illegal Search,7,2,13,3
Illegal Search,13,1,15,0
Illegal Search,6,0,9,0
Lockup Procedures,7,0,7,0
Lockup Procedures,5,0,7,0
Operation/Personnel Violations,6,0,4,2
Operation/Personnel Violations,6,1,6,1
Illegal Search,10,3,10,0
Illegal Search,9,5,21,0
Operation/Personnel Violations,7,1,5,0
Illegal Search,7,1,16,0
Illegal Search,6,0,7,0
Use Of Force,6,2,6,0
Operation/Personnel Violations,10,0,12,0
Use Of Force,10,0,11,0
Operation/Personnel Violations,12,1,2,0
Use Of Force,13,4,21,2
False Arrest,11,2,16,0
False Arrest,9,2,14,0
Illegal Search,12,0,1,0
Verbal Abuse,10,0,2,0
Use Of Force,7,0,10,0
Operation/Personnel Violations,11,1,20,0
Operation/Personnel Violations,6,1,12,0
Operation/Personnel Violations,8,4,20,0
Operation/Personnel Violations,6,3,4,0
False Arrest,5,2,11,0
Use Of Force,12,0,17,0
Use Of Force,9,0,17,0
Operation/Personnel Violations,11,3,13,4
Operation/Personnel Violations,6,0,8,0
False Arrest,6,2,8,0
False Arrest,7,3,14,0
Lockup Procedures,12,0,17,0
Lockup Procedures,11,1,22,0
Use Of Force,13,0,5,0
Use Of Force,8,0,7,0
Use Of Force,7,0,2,0
False Arrest,6,0,4,0
Illegal Search,5,0,9,0
False Arrest,13,2,17,0
False Arrest,12,1,13,0
False Arrest,13,7,32,1
False Arrest,10,3,19,1
False Arrest,8,6,19,1
False Arrest,6,4,12,3
False Arrest,12,0,8,1
False Arrest,7,0,8,1
Verbal Abuse,5,0,0,0
Illegal Search,9,0,19,0
Use Of Force,7,2,12,0
Lockup Procedures,9,0,16,0
Use Of Force,10,4,18,0
Use Of Force,8,8,28,0
Illegal Search,12,1,36,0
Illegal Search,10,0,21,0
Illegal Search,8,0,8,0
Illegal Search,7,0,15,0
Operation/Personnel Violations,10,2,9,0
Operation/Personnel Violations,7,1,4,0
Operation/Personnel Violations,12,0,3,2
Illegal Search,13,2,21,0
Illegal Search,6,0,7,0
Illegal Search,13,0,22,0
Operation/Personnel Violations,12,2,9,1
Lockup Procedures,12,0,6,0
Operation/Personnel Violations,9,1,2,0
Bribery / Official Corruption,13,0,12,0
Bribery / Official Corruption,10,0,29,0
Operation/Personnel Violations,5,0,0,0
Bribery / Official Corruption,7,0,13,0
Bribery / Official Corruption,7,0,17,0
Operation/Personnel Violations,12,5,17,1
Operation/Personnel Violations,7,1,12,1
Operation/Personnel Violations,7,2,4,0
Illegal Search,12,6,31,0
Illegal Search,11,1,14,0
Illegal Search,10,2,18,0
Operation/Personnel Violations,10,3,16,0
Operation/Personnel Violations,6,1,3,0
Verbal Abuse,9,0,6,0
Operation/Personnel Violations,13,1,1,0
Operation/Personnel Violations,13,1,16,0
Operation/Personnel Violations,8,0,6,0
Operation/Personnel Violations,10,3,12,0
Operation/Personnel Violations,6,2,16,1
Illegal Search,6,8,26,0
Illegal Search,11,1,5,0
Illegal Search,13,1,34,0
Illegal Search,8,1,20,0
Illegal Search,7,0,7,0
Illegal Search,7,1,4,0
Illegal Search,7,1,9,0
Illegal Search,6,2,9,0
Operation/Personnel Violations,11,4,8,1
Use Of Force,7,0,5,0
Verbal Abuse,12,0,15,0
Lockup Procedures,6,0,7,0
Operation/Personnel Violations,11,1,13,0
Use Of Force,6,0,1,0
Operation/Personnel Violations,13,1,19,0
Domestic,6,0,4,0
Operation/Personnel Violations,12,0,1,0
Operation/Personnel Violations,9,0,4,1
Use Of Force,6,0,5,0
False Arrest,13,2,9,0
False Arrest,12,0,5,0
Use Of Force,7,0,6,0
Illegal Search,10,7,47,1
Operation/Personnel Violations,7,2,8,2
Conduct Unbecoming (Off-Duty),12,0,10,1
False Arrest,6,1,4,0
False Arrest,6,1,4,0
False Arrest,7,2,15,4
Lockup Procedures,7,0,3,0
Illegal Search,9,0,7,0
Illegal Search,9,0,5,0
Illegal Search,8,1,11,0
Illegal Search,7,2,9,0
Operation/Personnel Violations,10,0,3,0
False Arrest,8,4,17,2
Operation/Personnel Violations,8,1,22,0
False Arrest,6,3,22,2
False Arrest,6,3,27,5
Illegal Search,10,0,5,0
Illegal Search,9,0,1,0
Illegal Search,8,0,5,0
Illegal Search,6,0,0,0
Operation/Personnel Violations,11,5,10,0
Use Of Force,7,0,15,0
Use Of Force,7,1,13,0
Use Of Force,7,0,1,0
Use Of Force,13,1,12,0
Lockup Procedures,9,0,15,0
Lockup Procedures,6,0,12,0
Verbal Abuse,13,1,29,0
Operation/Personnel Violations,13,5,10,2
Operation/Personnel Violations,13,3,8,0
Verbal Abuse,6,0,13,0
Operation/Personnel Violations,8,0,5,0
Lockup Procedures,11,0,12,2
Lockup Procedures,12,2,14,1
False Arrest,11,2,12,0
False Arrest,12,0,18,1
False Arrest,7,0,3,0
False Arrest,7,0,5,0
Verbal Abuse,10,0,11,0
Use Of Force,6,1,8,0
Use Of Force,7,1,32,0
Traffic,12,1,13,0
Lockup Procedures,11,0,8,0
Lockup Procedures,12,0,17,0
Operation/Personnel Violations,7,2,4,0
Verbal Abuse,12,0,3,0
Domestic,7,0,20,0
Domestic,6,0,2,0
Lockup Procedures,6,1,10,0
Domestic,6,0,2,0
Lockup Procedures,10,0,5,0
Lockup Procedures,6,0,1,0
Use Of Force,7,0,13,1
Illegal Search,6,0,10,0
Illegal Search,6,2,17,0
False Arrest,12,0,7,0
Operation/Personnel Violations,6,0,3,0
Operation/Personnel Violations,12,4,15,2
Operation/Personnel Violations,12,0,9,0
Lockup Procedures,7,0,16,0
Illegal Search,7,1,6,1
Domestic,9,2,10,2
Operation/Personnel Violations,11,0,28,0
Operation/Personnel Violations,6,0,11,0
Operation/Personnel Violations,6,0,11,0
False Arrest,6,0,2,0
False Arrest,6,0,3,0
Operation/Personnel Violations,12,0,14,1
Illegal Search,11,0,10,0
Illegal Search,12,1,8,0
Use Of Force,9,4,15,0
Operation/Personnel Violations,8,0,2,0
False Arrest,8,1,8,0
Lockup Procedures,13,2,12,0
Operation/Personnel Violations,13,1,3,0
Operation/Personnel Violations,7,0,8,0
Lockup Procedures,10,0,5,0
Illegal Search,6,0,5,0
Illegal Search,8,0,8,0
Illegal Search,13,4,18,0
Illegal Search,12,5,24,0
Traffic,7,0,7,0
Operation/Personnel Violations,13,2,7,0
False Arrest,8,1,11,0
Operation/Personnel Violations,6,0,1,0
Illegal Search,12,0,0,0
Illegal Search,13,0,10,0
Illegal Search,7,1,17,0
Lockup Procedures,7,1,24,1
Lockup Procedures,6,0,7,0
Operation/Personnel Violations,10,2,10,0
Operation/Personnel Violations,12,0,16,0
Operation/Personnel Violations,9,0,9,0
Operation/Personnel Violations,8,0,11,0
Operation/Personnel Violations,8,0,9,0
Operation/Personnel Violations,7,0,11,0
Operation/Personnel Violations,6,0,3,0
Use Of Force,8,0,11,0
Use Of Force,9,4,17,0
Use Of Force,12,1,18,0
False Arrest,8,0,4,0
False Arrest,6,1,4,0
Operation/Personnel Violations,6,2,3,0
Operation/Personnel Violations,8,2,30,0
Operation/Personnel Violations,6,1,23,0
Operation/Personnel Violations,6,3,28,0
Use Of Force,7,0,5,0
Operation/Personnel Violations,13,0,6,0
Lockup Procedures,7,0,13,0
Lockup Procedures,7,0,7,0
Operation/Personnel Violations,8,0,2,0
