category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Use Of Force,2,1,2,1
Use Of Force,1,0,6,12
Traffic,0,0,0,0
Verbal Abuse,2,0,4,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,2,0,2,4
Operation/Personnel Violations,1,0,1,1
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,1,1,1
Use Of Force,2,0,2,0
Use Of Force,1,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,1,0,2,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,2,1,4,3
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,2,1,4,1
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,1,0,2,2
Verbal Abuse,2,0,4,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,1,0,3,0
Operation/Personnel Violations,2,1,3,0
Use Of Force,2,0,1,0
Use Of Force,1,0,0,0
Operation/Personnel Violations,1,1,2,6
Operation/Personnel Violations,1,0,0,3
Operation/Personnel Violations,1,0,2,2
Operation/Personnel Violations,2,0,5,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,1,2,1
Illegal Search,1,0,0,6
Operation/Personnel Violations,1,0,1,5
Operation/Personnel Violations,2,0,5,2
Operation/Personnel Violations,1,1,1,1
Verbal Abuse,2,0,3,0
Use Of Force,2,0,4,1
Operation/Personnel Violations,1,0,1,1
Operation/Personnel Violations,2,0,0,2
Illegal Search,2,0,4,5
Use Of Force,1,0,2,2
False Arrest,2,0,0,0
Traffic,1,0,3,0
Operation/Personnel Violations,1,1,1,2
Use Of Force,1,1,2,2
Verbal Abuse,2,0,6,0
Operation/Personnel Violations,1,0,1,2
Operation/Personnel Violations,1,0,1,3
Verbal Abuse,1,0,2,0
Verbal Abuse,2,0,1,0
Use Of Force,1,0,0,1
Verbal Abuse,1,0,1,0
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,2,2,7,2
Operation/Personnel Violations,1,0,0,2
Operation/Personnel Violations,2,1,7,2
Operation/Personnel Violations,0,0,0,1
Use Of Force,1,0,1,0
Use Of Force,1,2,4,0
Use Of Force,2,0,3,4
Conduct Unbecoming (Off-Duty),0,0,0,0
Use Of Force,1,0,2,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,2,0,4,1
Use Of Force,1,0,1,3
Operation/Personnel Violations,1,0,1,5
Use Of Force,2,1,3,2
Domestic,1,0,2,0
Operation/Personnel Violations,1,1,2,1
Operation/Personnel Violations,1,0,0,4
Operation/Personnel Violations,2,0,8,0
Use Of Force,2,0,0,3
Operation/Personnel Violations,1,2,4,1
Operation/Personnel Violations,1,1,2,7
Operation/Personnel Violations,1,0,3,2
Use Of Force,2,0,1,5
Use Of Force,2,0,6,0
Use Of Force,2,1,6,3
Domestic,1,0,1,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,2,1,5,1
Operation/Personnel Violations,2,1,2,2
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,2,2,4,3
Operation/Personnel Violations,0,0,0,2
Operation/Personnel Violations,1,0,1,2
Operation/Personnel Violations,1,0,1,8
Operation/Personnel Violations,1,2,2,0
Use Of Force,2,0,3,0
Verbal Abuse,1,0,0,0
Illegal Search,1,3,6,2
Operation/Personnel Violations,1,0,1,2
Operation/Personnel Violations,1,0,0,2
Domestic,0,0,0,1
Operation/Personnel Violations,1,0,0,0
Illegal Search,2,0,4,1
Illegal Search,1,0,1,0
Operation/Personnel Violations,2,1,6,0
Verbal Abuse,1,0,1,0
Use Of Force,2,0,5,4
Operation/Personnel Violations,2,0,3,1
Operation/Personnel Violations,2,0,1,1
Use Of Force,1,0,1,1
Use Of Force,2,0,3,0
